"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 10 13:29:19 EET 2024","Wed Jul 10 13:29:23 EET 2024","3944","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_ShiftStart","GoooBigTestCases.GoooBig_ShiftStart","verifyClickOnApplyWithValidData","verifyClickOnApplyWithValidData","This test attempts to verify click on Apply with valid data."
"passed","Wed Jul 10 13:29:45 EET 2024","Wed Jul 10 13:29:47 EET 2024","2181","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_AddClient","GoooBigTestCases.GoooBig_AddClient","VerifyClickOnAddClientButtonWithoutData","VerifyClickOnAddClientButtonWithoutData","This test attempts to Verify Click On Add Client Button With Empty Data."
"passed","Thu Jul 11 09:46:48 EET 2024","Thu Jul 11 09:46:57 EET 2024","8512","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_ShiftStartTablet","GoooBigTestCasesForTablet.GoooBig_ShiftStartTablet","clickOnApplyWithoutEnterBoxFundStart","clickOnApplyWithoutEnterBoxFundStart","This test attempts to verify click on Apply without enter Box Fund Start."
"passed","Wed Jul 10 13:28:52 EET 2024","Wed Jul 10 13:28:57 EET 2024","4627","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_Login","GoooBigTestCases.GoooBig_Login","GetTextFromLoginScreen","GetTextFromLoginScreen","This test attempts to Get Text"
"broken","Wed Jul 10 13:29:56 EET 2024","Wed Jul 10 13:30:21 EET 2024","25064","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_AddClient","GoooBigTestCases.GoooBig_AddClient","VerifyToAddClientWithSpace","VerifyToAddClientWithSpace","This test attempts to Verify Add Client With Space Data."
"passed","Wed Jul 10 13:41:48 EET 2024","Wed Jul 10 13:42:03 EET 2024","15193","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_TotalBoxFundAfterPayment","GoooBigTestCases.GoooBig_TotalBoxFundAfterPayment","getTotalBoxFundAfterPayment","getTotalBoxFundAfterPayment","Total Box Fund After Payment"
"passed","Thu Jul 11 09:44:08 EET 2024","Thu Jul 11 09:44:39 EET 2024","31539","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_PreparationTablet","GoooBigTestCasesForTablet.GoooBig_PreparationTablet","prepareOrganizationUsingAnEmptyData","prepareOrganizationUsingAnEmptyData","This test attempts to prepare organization using an Empty Data UserId and a password and OrganizeId."
"passed","Wed Jul 10 13:29:41 EET 2024","Wed Jul 10 13:29:43 EET 2024","2015","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_AddClient","GoooBigTestCases.GoooBig_AddClient","NavigateToAddClientScreen","NavigateToAddClientScreen","This test attempts to verify the add client screen is displayed."
"passed","Thu Jul 11 09:46:18 EET 2024","Thu Jul 11 09:46:28 EET 2024","10128","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCasesForTablet.GoooBig_LoginTablet","GoooBigTestCasesForTablet.GoooBig_LoginTablet","LoginToOrganizationUsingInvalidData","LoginToOrganizationUsingInvalidData","This test attempts to Login to organization using Invalid UserId, password."
"passed","Wed Jul 10 13:32:25 EET 2024","Wed Jul 10 13:32:53 EET 2024","27676","All Test Suite","F:/GoooBigMobileApp","GoooBigTestCases.GoooBig_UploadInvoiceForClient","GoooBigTestCases.GoooBig_UploadInvoiceForClient","verifyToUpdateClients","verifyToUpdateClients","This test attempts to Update Clients from Update Screen."
